DOID:3127: ICD10CM:K62.89
DOID:3121: ICD10CM:C23
DOID:2838: ICD10CM:D75.1
DOID:2839: ICD10CM:D75.1
DOID:2832: ICD10CM:B48.3
DOID:2834: ICD10CM:D75.1
DOID:11379: ICD10CM:B83.1
DOID:11371: ICD10CM:K59.1
DOID:11372: ICD10CM:K59.3
DOID:11374: ICD10CM:K59.4
DOID:9910: ICD10CM:H16.01
DOID:0110732: ICD10CM:E75.4
DOID:0110733: ICD10CM:E75.4
DOID:0110730: ICD10CM:E75.4
DOID:0110731: ICD10CM:E75.4
DOID:0110736: ICD10CM:G23.0
DOID:0110737: ICD10CM:G23.0
DOID:0110734: ICD10CM:G23.0
DOID:0110735: ICD10CM:G23.0
DOID:0110738: ICD10CM:G23.0
DOID:0110739: ICD10CM:G23.0
DOID:9911: ICD10CM:N43.1
DOID:11217: ICD10CM:H73.1
DOID:11217: ICD10CM:H73.10
DOID:14336: ICD10CM:E28.0
DOID:14332: ICD10CM:G21.3
DOID:14330: ICD10CM:G20
DOID:8892: ICD10CM:L42
DOID:8893: ICD10CM:L40
DOID:8893: ICD10CM:L40.9
DOID:47: ICD10CM:N42.9
DOID:8545: ICD10CM:T88.3
DOID:8543: ICD10CM:C81.4
DOID:8541: ICD10CM:C84.1
DOID:8541: ICD10CM:C84.10
DOID:48: ICD10CM:N50.9
DOID:8549: ICD10CM:L98.4
DOID:10293: ICD10CM:H50.01
DOID:0090120: ICD10CM:D72.8
DOID:0090121: ICD10CM:E26.1
DOID:0090122: ICD10CM:E30.1
DOID:0090123: ICD10CM:G24.8
DOID:0090124: ICD10CM:Q74.3
DOID:0090126: ICD10CM:E71.1
DOID:0090129: ICD10CM:E71.3
DOID:1712: ICD10CM:I06.0
DOID:1712: ICD10CM:Q23.0
DOID:1713: ICD10CM:G25.83
DOID:11963: ICD10CM:K20
DOID:11963: ICD10CM:K20.9
DOID:11968: ICD10CM:N95.2
DOID:13189: ICD10CM:M10
DOID:13189: ICD10CM:M10.9
DOID:12594: ICD10CM:Q60.6
DOID:1979: ICD10CM:H30.0
DOID:1979: ICD10CM:H30.00
DOID:13238: ICD10CM:A25.1
DOID:12043: ICD10CM:P57.0
DOID:11430: ICD10CM:N80.6
DOID:4090: ICD10CM:R48.1
DOID:4090: ICD10CM:R48.2
DOID:9717: ICD10CM:K82.1
DOID:11581: ICD10CM:H16.25
DOID:3827: ICD10CM:K44
DOID:3827: ICD10CM:K44.9
DOID:11589: ICD10CM:G90.1
DOID:0080193: ICD10:H83.8
DOID:10762: ICD10CM:K76.6
DOID:10763: ICD10CM:I10
DOID:10763: ICD10CM:I10-I15
DOID:1459: ICD10CM:E03.9
DOID:13137: ICD10CM:G12.0
DOID:0110505: ICD10CM:H90.3
DOID:0110504: ICD10CM:H90.3
DOID:0110507: ICD10CM:H90.3
DOID:0110506: ICD10CM:H90.3
DOID:0110501: ICD10CM:H90.3
DOID:0110500: ICD10CM:H90.3
DOID:0110503: ICD10CM:H90.3
DOID:0110502: ICD10CM:H90.3
DOID:0110509: ICD10CM:H90.3
DOID:0110508: ICD10CM:H90.3
DOID:8970: ICD10CM:A81.1
DOID:626: ICD10CM:D80-D89
DOID:626: ICD10CM:D84.1
DOID:624: ICD10CM:D80.7
DOID:10354: ICD10CM:N60
DOID:10354: ICD10CM:N60.1
DOID:628: ICD10CM:D81
DOID:628: ICD10CM:D81.9
DOID:10350: ICD10CM:N60.0
DOID:10353: ICD10CM:N60.3
DOID:10352: ICD10CM:N60.2
DOID:8729: ICD10CM:B08.04
DOID:12603: ICD10CM:C95.0
DOID:12603: ICD10CM:C95.00
DOID:14292: ICD10CM:N90.4
DOID:13955: ICD10CM:D25.1
DOID:1363: ICD10CM:C31.1
DOID:10971: ICD10CM:N70.0
DOID:10971: ICD10CM:N70.03
DOID:10973: ICD10CM:N70.01
